APRESENTAÇÃO,Quantidade,Unidade,Descrição do item,Unidades,Com Rev
"(2,5 + 1,5) MG COM REV CT BL AL PVC CALEND X 24 + 4 PLACEBO","(2,5 + 1,5)",MG,CT BL AL PVC CALEND  + 4 PLACEBO,24,COM REV
"(2,5 + 1,5) MG COM REV CT BL AL PVC CALEND X 72 + 12 PLACEBO ","(2,5 + 1,5)",MG,CT BL AL PVC CALEND  + 12 PLACEBO,72,COM REV
"2,5 MG + 120 MG COM LIB MOD CT BL AL AL X 10","2,5",MG,+ 120  COM LIB MOD CT BL AL AL ,10,
5 MG COM CT BL AL PLAS TRANS X 20,5,MG,COM CT BL AL PLAS TRANS ,20,
20 MG COM CT BL AL PLAS TRANS X 10,20,MG,COM CT BL AL PLAS TRANS ,10,
"0,5 MG SOL NAS CT FR SPR PLAS OPC X 10 ML ","0,5",MG,SOL NAS CT FR SPR PLAS OPC  ML,10,
"0,5 MG SOL NAS CT FR SPR PLAS OPC X 30 ML ","0,5",MG,SOL NAS CT FR SPR PLAS OPC  ML,30,
"0,250 MG SOL NAS CT FR GOT PLAS OPC X 20 ML ","0,250",MG,SOL NAS CT FR GOT PLAS OPC  ML,20,
5 MG COM REV CT BL AL PLAS TRANS X 10,5,MG,CT BL AL PLAS TRANS ,10,COM REV
"0,5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOS","0,5",MG/ML,XPE CT FR VD AMB  ML + SER DOS,60,
"0,5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOS","0,5",MG/ML,XPE CT FR VD AMB  ML + SER DOS,100,
5 MG COM REV CT BL AL PLAS TRANS X 30,5,MG,CT BL AL PLAS TRANS ,30,COM REV
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 120 ACIONAMENTOS","0,5",MG/G,SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,120,
"0,075 MG COM REV CT BL AL PLAS TRANS X 28","0,075",MG,CT BL AL PLAS TRANS ,28,COM REV
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075",MG,CT BL AL PLAS TRANS ,84,COM REV
50 MG + 100 MG COM REV CT BL AL AL X 28,50,MG,+ 100   CT BL AL AL ,28,COM REV
"(1 + 0,5) G PO SOL INFUS IV CT FA VD TRANS","(1 + 0,5)",G,PO SOL INFUS IV CT FA VD TRANS,,
200 MG COM REV CT BL AL PLAS TRANS X 6 ,200,MG,CT BL AL PLAS TRANS ,6,COM REV
"300 UI SOL INJ CT 1 CARPULE X 0,480ML + 6 AGULHAS P/ INJEÇÃO",300,UI,"SOL INJ CT 1 CARPULE ,480ML + 6 AGULHAS P/ INJEÇÃO",0,
60 MG COM REV CT BL AL/AL X 7,60,MG,CT BL AL/AL ,7,COM REV
60 MG COM REV CT BL AL/AL X 14,60,MG,CT BL AL/AL ,14,COM REV
90 MG COM REV CT BL AL/AL X 2,90,MG,CT BL AL/AL ,2,COM REV
90 MG COM REV CT BL AL/AL X 7,90,MG,CT BL AL/AL ,7,COM REV
90 MG COM REV CT BL AL/AL X 14,90,MG,CT BL AL/AL ,14,COM REV
5 MG COM REV CT BL AL PLAS X 10,5,MG,CT BL AL PLAS ,10,COM REV
5 MG COM REV CT BL AL PLAS X 30,5,MG,CT BL AL PLAS ,30,COM REV
"0,5 MG/ML XPE CT FR VD AMB X 100 ML + DOSADOR ","0,5",MG/ML,XPE CT FR VD AMB  ML + DOSADOR,100,
"2,5 MG + 120 MG COM LIB MOD CT BL AL/AL X 10","2,5",MG,+ 120  COM LIB MOD CT BL AL/AL ,10,
10 MG COM REV CT BL AL AL X 10,10,MG,CT BL AL AL X,10,COM REV
10 MG COM REV CT BL AL AL X 30,10,MG,CT BL AL AL ,30,COM REV
5 MG COM MAST CT BL AL AL X 10,5,MG,COM MAST CT BL AL AL ,10,
5 MG COM MAST CT BL AL AL X 30,5,MG,COM MAST CT BL AL AL ,30,
4 MG COM MAST CT BL AL AL X 10,4,MG,COM MAST CT BL AL AL ,10,
4 MG COM MAST CT BL AL AL X 30,4,MG,COM MAST CT BL AL AL ,30,
"100 MCG SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML ",100,MCG,"SOL INJ SC CT SER PREENC VD TRANS ,5 ML",0,
"150 MCG SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML",150,MCG,"SOL INJ SC CT SER PREENC VD TRANS ,5 ML",0,
68 MG IMPLANTE CT BL X 1 APLIC,68,MG,IMPLANTE CT BL  APLIC,1,
"0,5 MG/ML SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML","0,5",MG/ML,SOL INJ SC CT SER PREENC VD TRANS X  ML,0,
"11,7 MG/2,7 MG ANEL VAG CT ENV AL/PLAS X 1 + 1 APLIC PLAS OPC","11,7","MG/2,7",MG ANEL VAG CT ENV AL/PLAS  + 1 APLIC PLAS OPC,1,
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 10 ,10,MG,COM CT BL AL PLAS PVC/PCTFE TRANS X,10,
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 30,10,MG,COM CT BL AL PLAS PVC/PCTFE TRANS ,30,
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,10,MG,COM CT BL AL PLAS PVC/PCTFE TRANS ,60,
10 MG + 10 MG COM CT BL AL AL X 30 ,10,MG,+   COM CT BL AL AL ,30,
10 MG + 20 MG COM CT BL AL PVC/PCTFE OPACO X 14 ,10,MG,+ 20  COM CT BL AL PVC/PCTFE OPACO ,14,
10 MG + 20 MG COM CT BL AL PVC/PCTFE OPACO X 30,10,MG,+ 20  COM CT BL AL PVC/PCTFE OPACO ,30,
10 MG + 40 MG COM CT BL AL PVC/PCTFE OPACO X 30,10,MG,+ 40  COM CT BL AL PVC/PCTFE OPACO ,30,
"0,1 PCC GEL CT 28 SACH X 1,0 G","0,1",PCC,"GEL CT 28 SACH ,0 G",1,
"0,1 PCC GEL CT 28 SACH X 0,5 G","0,1",PCC,"GEL CT 28 SACH ,5 G",0,
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 120 ACIONAMENTOS","0,5",MG/G,SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,120,
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 60 ACIONAMENTOS","0,5",MG/G,SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,60,
"0,075 MG COM REV CT BL AL PLAS TRANS X 28","0,075",MG,CT BL AL PLAS TRANS ,28,COM REV
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075",MG,CT BL AL PLAS TRANS ,84,COM REV
"(0,125 MG+0,030 MG) COM + (0,025 MG +0,040 MG) COM CT BL AL PLAS PVC TRANS X 15+7","(0,125 MG+0,030 MG)",COM,"+ (0,025 MG +0,040 MG)  CT BL AL PLAS PVC TRANS +7",15,
"0,15 MG + 0,02 MG COM CT BL AL PLAS TRANS X 21","0,15",MG,"+ 0,02  COM CT BL AL PLAS TRANS ",21,
"0,15 MG + 0,02 MG COM CT BL AL PLAS TRANS X 63","0,15",MG,"+ 0,02  COM CT BL AL PLAS TRANS ",63,
150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 28,150/20MCG,21,+ 0/0MCG 2  + 0/10MCG 5  CT ENV AL X BL AL PVC ,28,COM REV
150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 84,150/20MCG,21,+ 0/0MCG 2  + 0/10MCG 5  CT ENV AL X BL AL PVC ,84,COM REV
"2,5 MG COM CT BL AL PLAS PVDC TRANS X 28","2,5",MG,COM CT BL AL PLAS PVDC TRANS ,28,
"2,5 MG COM CT BL AL PLAS PVDC TRANS X 84","2,5",MG,COM CT BL AL PLAS PVDC TRANS ,84,
"0,15 MG + 0,03 MG COM CT BL AL PLAS TRANS X 21","0,15",MG,"+ 0,03  COM CT BL AL PLAS TRANS ",21,
15 MG COM ORODISP CT BL AL PLAS PVC TRANS X 6,15,MG,COM ORODISP CT BL AL PLAS PVC TRANS ,6,
15 MG COM ORODISP CT BL AL PLAS PVC TRANS X 30,15,MG,COM ORODISP CT BL AL PLAS PVC TRANS ,30,
30 MG COM ORODISP CT BL AL PLAS PVC TRANS X 6,30,MG,COM ORODISP CT BL AL PLAS PVC TRANS ,6,
30 MG COM ORODISP CT BL AL PLAS PVC TRANS X 30,30,MG,COM ORODISP CT BL AL PLAS PVC TRANS X,30,
45 MG COM ORODISP CT  BL AL PLAS PVC TRANS X 30 ,45,MG,COM ORODISP CT  BL AL PLAS PVC TRANS ,30,
200 MG COM REV CT BL AL AL X 20,200,MG,CT BL AL AL ,20,COM REV
100 MG COM REV CT BL AL AL X 30,100,MG,CT BL AL AL ,30,COM REV
200 MG COM REV CT BL AL AL X 30,200,MG,CT BL AL AL ,30,COM REV
100 MG COM REV CT BL AL AL X 60,100,MG,CT BL AL AL ,60,COM REV
200 MG COM REV CT BL AL AL X 60,200,MG,CT BL AL AL ,60,COM REV
100 MG COM REV CT BL AL AL X 90,100,MG,CT BL AL AL ,90,COM REV
200 MG COM REV CT BL AL AL X 90,200,MG,CT BL AL AL ,90,COM REV
"0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 28 + CALEND","0,030",+,"0,075 MG  CT ENVOL BL AL PLAS TRANS   CALEND",28,COM REV
"0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 84 + CALEND","0,030",+,"0,075 MG  CT ENVOL BL AL PLAS TRANS   CALEND",84,COM REV
10 MG COM CT BL AL PLAS PVC TRANS X 20,10,MG,COM CT BL AL PLAS PVC TRANS ,20,
5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,5,MG/ML,SOL INJ C AMP VD AMB  ML,50,
5 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML,5,MG/ML,SOL INJ CT  AMP VD AMB  ML,2,
4 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML,4,MG/ML,SOL OR CT FR GOT PLAS OPC  ML,20,
100 MG COM REV  CT BL AL  PLAS TRANS X 2,100,MG,CT BL AL  PLAS TRANS ,2,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 2,50,MG,CT BL AL PLAS TRANS ,2,COM REV
100 MG COM REV  CT BL AL  PLAS TRANS X 6,100,MG,CT BL AL  PLAS TRANS ,6,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 6,50,MG,CT BL AL PLAS TRANS ,6,COM REV
3 MG/ML SOL INJ CT 2 AMP VD AMB X 2 ML,3,MG/ML,SOL INJ CT 2 AMP VD AMB  ML,2,
3 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML,3,MG/ML,SOL INJ CT 50 AMP VD AMB  ML,2,
5 MG COM CT BL  AL PLAS TRANS X 20,5,MG,COM CT BL  AL PLAS TRANS ,20,
10 MG COM CT BL  AL PLAS TRANS X 20,10,MG,COM CT BL  AL PLAS TRANS ,20,
5 MG COM CT BL  AL PLAS TRANS X 60,5,MG,COM CT BL  AL PLAS TRANS ,60,
5 MG COM CT BL  AL PLAS TRANS X 90,5,MG,COM CT BL  AL PLAS TRANS ,90,
10 MG COM CT BL  AL PLAS TRANS X 60,10,MG,COM CT BL  AL PLAS TRANS ,60,
10 MG COM CT BL  AL PLAS TRANS X 90,10,MG,COM CT BL  AL PLAS TRANS ,90,
5 MG COM CT BL  AL PLAS TRANS X 8,5,MG,COM CT BL  AL PLAS TRANS ,8,
10 MG COM CT 2 BL AL PLAS AMB X 15,10,MG,COM CT 2 BL AL PLAS AMB ,15,
20 MG COM CT 2 BL AL PLAS AMB X 15,20,MG,COM CT 2 BL AL PLAS AMB ,15,
20 MG COM REV CT BL AL PLAS INC X 28,20,MG,CT BL AL PLAS INC ,28,COM REV
20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML,20,MG/ML,SOL OR CT FR PLAS OPC GOT X  ML,20,
100 MG COM REV LIB RETARD CT BL AL PLAS INC X 30,100,MG,LIB RETARD CT BL AL PLAS INC ,30,COM REV
25 MG COM CT BL AL PLAS TRANS X 30,25,MG,COM CT BL AL PLAS TRANS ,30,
"6,250 MG COM CT BL AL PLAS TRANS X 30","6,250",MG,COM CT BL AL PLAS TRANS ,30,
"12,50 MG COM CT BL AL PLAS TRANS X 30","12,50",MG,COM CT BL AL PLAS TRANS ,30,
"3,125 MG COM CT BL AL PLAS TRANS X 30","3,125",MG,COM CT BL AL PLAS TRANS ,30,
"6,250 MG COM CT BL AL PLAS TRANS X 60","6,250",MG,COM CT BL AL PLAS TRANS ,60,
"12,50 MG COM CT BL AL PLAS TRANS X 60","12,50",MG,COM CT BL AL PLAS TRANS ,60,
25 MG COM CT BL AL PLAS TRANS X 60,25,MG,COM CT BL AL PLAS TRANS ,60,
500 MG COM REV CT BL AL PLAS INC X 09,500,MG,CT BL AL PLAS INC ,09,COM REV
"0,075 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 21 CALEND","0,075",MG,"+ 0,02   CT BL AL PLAS TRANS  CALEND",21,COM REV
"0,075 MG + 0,02 MG COM REV CT 3  BL AL PLAS TRANS  X 21 CALEND","0,075",MG,"+ 0,02   CT 3  BL AL PLAS TRANS   CALEND",21,COM REV
"2,5 MG COM CT BL AL AL X 30","2,5",MG,COM CT BL AL AL ,30,
5 MG COM CT BL AL AL X 30,5,MG,COM CT BL AL AL ,30,
10 MG COM CT BL AL AL X 30,10,MG,COM CT BL AL AL ,30,
"2,5 MG COM CT BL AL AL X 90","2,5",MG,COM CT BL AL AL ,90,
5 MG COM CT BL AL AL X 90,5,MG,COM CT BL AL AL ,90,
10 MG COM CT BL AL AL X 90,10,MG,COM CT BL AL AL ,90,
"2,5 MG COM CT BL AL PLAS TRANS X 28","2,5",MG,COM CT BL AL PLAS TRANS ,28,
"2,5 MG COM CT BL AL PLAS TRANS X 84","2,5",MG,COM CT BL AL PLAS TRANS ,84,
30 MG COM REV CT BL AL/PLAS TRANS X 30,30,MG,CT BL AL/PLAS TRANS X,30,COM REV
20 MG COM REV CT BL AL/PLAS TRANS X 30,20,MG,CT BL AL/PLAS TRANS ,30,COM REV
"2,5 MG + 5 MG CAP GEL DURA CT FR PLAS X 30","2,5",MG,+ 5  CAP GEL DURA CT FR PLAS ,30,
5 MG + 5 MG CAP GEL DURA CT FR PLAS X 30,5,MG,+   CAP GEL DURA CT FR PLAS ,30,
10 MG + 5 MG CAP GEL DURA CT FR PLAS X 30,10,MG,+ 5  CAP GEL DURA CT FR PLAS ,30,
10 MG + 10 MG CAP GEL DURA CT FR PLAS X 30,10,MG,+   CAP GEL DURA CT FR PLAS ,30,
"0,150 MG + 0,02 MG COM CT BL AL PLAS INC CALEND X 21","0,150",MG,"+ 0,02  COM CT BL AL PLAS INC CALEND ",21,
"0,150 MG + 0,02 MG COM CT BL AL PLAS INC CALEND X 63","0,150",MG,"+ 0,02  COM CT BL AL PLAS INC CALEND ",63,
50 MG COM CT BL AL PLAS TRANS X 30,50,MG,COM CT BL AL PLAS TRANS ,30,
50 MG COM CT BL AL PLAS TRANS X 60,50,MG,COM CT BL AL PLAS TRANS ,60,
100 MG COM CT BL AL PLAS TRANS X 15,100,MG,COM CT BL AL PLAS TRANS ,15,
100 MG COM CT BL AL PLAS TRANS X 30,100,MG,COM CT BL AL PLAS TRANS ,30,
100 MG COM CT BL AL PLAS TRANS X 60,100,MG,COM CT BL AL PLAS TRANS ,60,
50 MG COM CT BL AL PLAS TRANS X 120,50,MG,COM CT BL AL PLAS TRANS ,120,
100 MG COM CT BL AL PLAS TRANS X 120,100,MG,COM CT BL AL PLAS TRANS ,120,
"0,015 MG + 0,060 MG COM REV CT BL AL PLAS TRANS CALEND X 24 ","0,015",MG,"+ 0,060   CT BL AL PLAS TRANS CALEND ",24,COM REV
"0,015 MG + 0,060 MG COM REV CT BL AL PLAS TRANS CALEND X 72","0,015",MG,"+ 0,060   CT BL AL PLAS TRANS CALEND ",72,COM REV
1 MG COM REV CT BL AL PLAS TRANS CALEND X 28,1,MG,CT BL AL PLAS TRANS CALEND ,28,COM REV
50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 60 DOSES,50,MCG/DOSE,SUS TOP CT FR SPR PLAS OPC  DOSES,60,
50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 120 DOSES,50,MCG/DOSE,SUS TOP CT FR SPR PLAS OPC  DOSES,120,
"1 MG + 0,5 MG COM REV CT BL AL PLAS TRANS CALEND X 28",1,MG,"+ 0,5   CT BL AL PLAS TRANS CALEND ",28,COM REV
20 MG COM  REV CT BL AL PLAS TRANS X 7,20,MG,COM  REV CT BL AL PLAS TRANS ,7,
20 MG COM REV CT BL AL PLAS TRANS X 28,20,MG,CT BL AL PLAS TRANS ,28,COM REV
40 MG COM REV CT BL AL PLAS TRANS X 28,40,MG,CT BL AL PLAS TRANS ,28,COM REV
150 MG COM REV LIB PROL CT BL AL PLAS TRANS X 30,150,MG,LIB PROL CT BL AL PLAS TRANS ,30,COM REV
150 MG COM REV LIB PROL CT FR PLAS  PEAD OPC X 10,150,MG,LIB PROL CT FR PLAS  PEAD OPC ,10,COM REV
150 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,150,MG,LIB PROL CT FR PLAS PEAD OPC ,30,COM REV
150 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,150,MG,LIB PROL CT FR PLAS PEAD OPC ,60,COM REV
300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,300,MG,LIB PROL CT FR PLAS PEAD OPC ,30,COM REV
300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,300,MG,LIB PROL CT FR PLAS PEAD OPC ,60,COM REV
1 MG/G CREM DERM CT BG PLAS OPC X 20 G,1,MG/G,CREM DERM CT BG PLAS OPC  G,20,
1 MG/G POM DERM CT BG PLAS OPC X 20 G,1,MG/G,POM DERM CT BG PLAS OPC  G,20,
1 MG/G CREM DERM CT BG AL X 20 G,1,MG/G,CREM DERM CT BG AL  G,20,
1 MG/G POM DERM CT BG AL  X 20 G,1,MG/G,POM DERM CT BG AL   G,20,
1 MG/G CREM DERM CT BG AL X 10 G,1,MG/G,CREM DERM CT BG AL  G,10,
1 MG/G CREM DERM CT FR APLIC PLAS PET OPC X 140 G,1,MG/G,CREM DERM CT FR APLIC PLAS PET OPC  G,140,
6 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML  ,6,MG/ML,SOL INJ IV CT FA VD TRANS  ML,5,
"6 MG/ML SOL INJ IV CT FR VD TRANS X 16,7 ML",6,MG/ML,"SOL INJ IV CT FR VD TRANS ,7 ML",16,
6 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML   ,6,MG/ML,SOL INJ IV CT FA VD TRANS  ML,25,
6 MG/ML SOL INJ IV CT FA VD AMB X 5 ML,6,MG/ML,SOL INJ IV CT FA VD AMB  ML,5,
"6 MG/ML SOL INJ IV CT FA VD AMB X 16,7 ML",6,MG/ML,"SOL INJ IV CT FA VD AMB ,7 ML",16,
6 MG/ML SOL INJ IV CT FA VD AMB X 25 ML,6,MG/ML,SOL INJ IV CT FA VD AMB  ML,25,
6 MG/ML SOL INJ IV CT FA VD AMB X 50 ML,6,MG/ML,SOL INJ IV CT FA VD AMB  ML,50,
