APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
60 MG COM REV CT BL AL AL X 7,60 MG,COM REV CT BL AL AL X 7,,
60 MG COM REV CT BL AL AL X 14 ,60 MG,COM REV CT BL AL AL X 14,,
90 MG COM REV CT  BL AL AL X 7,90 MG,COM REV CT  BL AL AL X 7,,
90 MG COM REV CT BL AL AL X 14,90 MG,COM REV CT BL AL AL X 14,,
90 MG COM REV CT BL AL AL X 2,90 MG,COM REV CT BL AL AL X 2,,
10 MG COM CT BL AL PLAS TRANS X 30,10 MG,COM CT BL AL PLAS TRANS X 30,,
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 30,10MG,,+ 20 MG COM CT BL PVC BRANCO ACLAR AL,X 30
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 14,10MG,,+ 20 MG COM CT BL PVC BRANCO ACLAR AL,X 14
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 28 ,10MG,,+ 20 MG COM CT BL PVC BRANCO ACLAR AL,X 28
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 30,10MG,,+ 40 MG COM CT BL PVC BRANCO ACLAR AL,X 30
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 14,10MG,,+ 40 MG COM CT BL PVC BRANCO ACLAR AL,X 14
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 28 ,10MG,,+ 40 MG COM CT BL PVC BRANCO ACLAR AL,X 28
10MG + 80 MG COM CT BL PVC BRANCO ACLAR AL X 28,10MG,,+ 80 MG COM CT BL PVC BRANCO ACLAR AL,X 28
10MG + 10 MG COM CT BL AL AL X 28,10MG,,+ 10 MG COM CT BL AL AL,X 28
10MG + 10 MG COM CT BL AL AL X 30,10MG,,+ 10 MG COM CT BL AL AL,X 30
25 MG COM REV CT BL AL PVC/PE/PVDC X 28 ,25 MG,COM REV CT BL AL PVC,/PE/PVDC,X 28
50 MG COM REV CT BL AL PVC/PE/PVDC X 28,50 MG,COM REV CT BL AL PVC,/PE/PVDC,X 28
100 MG COM REV CT BL AL PVC/PE/PVDC X 14,100 MG,COM REV CT BL AL PVC,/PE/PVDC,X 14
100 MG COM REV CT BL AL PVC/PE/PVDC X 28,100 MG,COM REV CT BL AL PVC,/PE/PVDC,X 28
25 MG COM REV CT BL AL AL X 28 ,25 MG,COM REV CT BL AL AL X 28,,
50 MG COM REV CT BL AL AL X 28,50 MG,COM REV CT BL AL AL X 28,,
100 MG COM REV CT BL AL AL X 14,100 MG,COM REV CT BL AL AL X 14,,
100 MG COM REV CT BL AL AL X 28 ,100 MG,COM REV CT BL AL AL X 28,,
(50 + 500) MG COM REV CT BL AL AL X 56,(50 + 500) MG,COM REV CT BL AL AL X 56,,
(50 + 850) MG COM REV CT BL AL AL X 28,(50 + 850) MG,COM REV CT BL AL AL X 28,,
(50 + 850) MG COM REV CT BL AL AL X 56,(50 + 850) MG,COM REV CT BL AL AL X 56,,
(50 + 1000) MG COM REV CT BL AL AL X 28,(50 + 1000) MG,COM REV CT BL AL AL X 28,,
(50 + 1000) MG COM REV CT BL AL AL X 56,(50 + 1000) MG,COM REV CT BL AL AL X 56,,
(1000 + 100) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 10,(1000 + 100) MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 10,,
(1000 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 20,(1000 + 50) MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 20,,
(500 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,(500 + 50) MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 60,,
(1000 + 100) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,(1000 + 100) MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 30,,
(1000 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,(1000 + 50) MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 60,,
70 MG/5600 UI COM CT BL AL AL X 4,70 MG,,/5600 UI COM CT BL AL AL,X 4
"(2,5 + 1,5) MG COM REV CT BL AL PVC CALEND X 24 + 4 PLACEBO","(2,5 + 1,5) MG",COM REV CT BL AL PVC CALEND X 24,+ 4 PLACEBO,
"(2,5 + 1,5) MG COM REV CT BL AL PVC CALEND X 72 + 12 PLACEBO ","(2,5 + 1,5) MG",COM REV CT BL AL PVC CALEND X 72,+ 12 PLACEBO,
"2,5 MG + 120 MG COM LIB MOD CT BL AL AL X 10","2,5 MG",,+ 120 MG COM LIB MOD CT BL AL AL,X 10
5 MG COM CT BL AL PLAS TRANS X 20,5 MG,COM CT BL AL PLAS TRANS X 20,,
20 MG COM CT BL AL PLAS TRANS X 10,20 MG,COM CT BL AL PLAS TRANS X 10,,
"0,5 MG SOL NAS CT FR SPR PLAS OPC X 10 ML ","0,5 MG",SOL NAS CT FR SPR PLAS OPC X 10 ML,,
"0,5 MG SOL NAS CT FR SPR PLAS OPC X 30 ML ","0,5 MG",SOL NAS CT FR SPR PLAS OPC X 30 ML,,
"0,250 MG SOL NAS CT FR GOT PLAS OPC X 20 ML ","0,250 MG",SOL NAS CT FR GOT PLAS OPC X 20 ML,,
5 MG COM REV CT BL AL PLAS TRANS X 10,5 MG,COM REV CT BL AL PLAS TRANS X 10,,
"0,5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOS","0,5 MG",,/ML XPE CT FR VD AMB  ML + SER DOS,X 60
"0,5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOS","0,5 MG",,/ML XPE CT FR VD AMB  ML + SER DOS,X 100
5 MG COM REV CT BL AL PLAS TRANS X 30,5 MG,COM REV CT BL AL PLAS TRANS X 30,,
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 120 ACIONAMENTOS","0,5 MG",,/G SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,X 120
"0,075 MG COM REV CT BL AL PLAS TRANS X 28","0,075 MG",COM REV CT BL AL PLAS TRANS X 28,,
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075 MG",COM REV CT BL AL PLAS TRANS X 84,,
50 MG + 100 MG COM REV CT BL AL AL X 28,50 MG,,+ 100 MG COM REV CT BL AL AL,X 28
"(1 + 0,5) G PO SOL INFUS IV CT FA VD TRANS","(1 + 0,5) G",PO SOL INFUS IV CT FA VD TRANS,,
200 MG COM REV CT BL AL PLAS TRANS X 6 ,200 MG,COM REV CT BL AL PLAS TRANS X 6,,
"300 UI SOL INJ CT 1 CARPULE X 0,480ML + 6 AGULHAS P/ INJEÇÃO",300 UI,SOL INJ CT 1 CARPULE X 0,",480ML + 6 AGULHAS P/ INJEÇÃO",
60 MG COM REV CT BL AL/AL X 7,60 MG,COM REV CT BL AL,/AL,X 7
60 MG COM REV CT BL AL/AL X 14,60 MG,COM REV CT BL AL,/AL,X 14
90 MG COM REV CT BL AL/AL X 2,90 MG,COM REV CT BL AL,/AL,X 2
90 MG COM REV CT BL AL/AL X 7,90 MG,COM REV CT BL AL,/AL,X 7
90 MG COM REV CT BL AL/AL X 14,90 MG,COM REV CT BL AL,/AL,X 14
5 MG COM REV CT BL AL PLAS X 10,5 MG,COM REV CT BL AL PLAS X 10,,
5 MG COM REV CT BL AL PLAS X 30,5 MG,COM REV CT BL AL PLAS X 30,,
"0,5 MG/ML XPE CT FR VD AMB X 100 ML + DOSADOR ","0,5 MG",,/ML XPE CT FR VD AMB  ML + DOSADOR,X 100
"2,5 MG + 120 MG COM LIB MOD CT BL AL/AL X 10","2,5 MG",,+ 120 MG COM LIB MOD CT BL AL/AL,X 10
10 MG COM REV CT BL AL AL X 10,10 MG,COM REV CT BL AL AL X 10,,
10 MG COM REV CT BL AL AL X 30,10 MG,COM REV CT BL AL AL X 30,,
5 MG COM MAST CT BL AL AL X 10,5 MG,COM MAST CT BL AL AL X 10,,
5 MG COM MAST CT BL AL AL X 30,5 MG,COM MAST CT BL AL AL X 30,,
4 MG COM MAST CT BL AL AL X 10,4 MG,COM MAST CT BL AL AL X 10,,
4 MG COM MAST CT BL AL AL X 30,4 MG,COM MAST CT BL AL AL X 30,,
"100 MCG SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML ",100 MCG,SOL INJ SC CT SER PREENC VD TRANS X 0,",5 ML",
"150 MCG SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML",150 MCG,SOL INJ SC CT SER PREENC VD TRANS X 0,",5 ML",
68 MG IMPLANTE CT BL X 1 APLIC,68 MG,IMPLANTE CT BL X 1 APLIC,,
"0,5 MG/ML SOL INJ SC CT SER PREENC VD TRANS X 0,5 ML","0,5 MG",,"/ML SOL INJ SC CT SER PREENC VD TRANS ,5 ML",X 0
"11,7 MG/2,7 MG ANEL VAG CT ENV AL/PLAS X 1 + 1 APLIC PLAS OPC","11,7 MG",,"/2,7 MG ANEL VAG CT ENV AL/PLAS  + 1 APLIC PLAS OPC",X 1
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 10 ,10 MG,COM CT BL AL PLAS PVC,/PCTFE TRANS,X 10
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 30,10 MG,COM CT BL AL PLAS PVC,/PCTFE TRANS,X 30
10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60,10 MG,COM CT BL AL PLAS PVC,/PCTFE TRANS,X 60
10 MG + 10 MG COM CT BL AL AL X 30 ,10 MG,,+ 10 MG COM CT BL AL AL,X 30
10 MG + 20 MG COM CT BL AL PVC/PCTFE OPACO X 14 ,10 MG,,+ 20 MG COM CT BL AL PVC/PCTFE OPACO,X 14
10 MG + 20 MG COM CT BL AL PVC/PCTFE OPACO X 30,10 MG,,+ 20 MG COM CT BL AL PVC/PCTFE OPACO,X 30
10 MG + 40 MG COM CT BL AL PVC/PCTFE OPACO X 30,10 MG,,+ 40 MG COM CT BL AL PVC/PCTFE OPACO,X 30
"0,1 PCC GEL CT 28 SACH X 1,0 G","0,1 PCC",GEL CT 28 SACH X 1,",0 G",
"0,1 PCC GEL CT 28 SACH X 0,5 G","0,1 PCC",GEL CT 28 SACH X 0,",5 G",
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 120 ACIONAMENTOS","0,5 MG",,/G SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,X 120
"0,5 MG/G SUS SPR NAS CT FR SPR PLAS PEAD OPC X 60 ACIONAMENTOS","0,5 MG",,/G SUS SPR NAS CT FR SPR PLAS PEAD OPC  ACIONAMENTOS,X 60
"0,075 MG COM REV CT BL AL PLAS TRANS X 28","0,075 MG",COM REV CT BL AL PLAS TRANS X 28,,
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075 MG",COM REV CT BL AL PLAS TRANS X 84,,
"(0,125 MG+0,030 MG) COM + (0,025 MG +0,040 MG) COM CT BL AL PLAS PVC TRANS X 15+7",,,"(0,125 MG+0,030 MG) COM + (0,025 MG +0,040 MG) COM CT BL AL PLAS PVC TRANS +7",X 15
"0,15 MG + 0,02 MG COM CT BL AL PLAS TRANS X 21","0,15 MG",,"+ 0,02 MG COM CT BL AL PLAS TRANS",X 21
"0,15 MG + 0,02 MG COM CT BL AL PLAS TRANS X 63","0,15 MG",,"+ 0,02 MG COM CT BL AL PLAS TRANS",X 63
150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 28,150,,/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC,X 28
150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 84,150,,/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC,X 84
"2,5 MG COM CT BL AL PLAS PVDC TRANS X 28","2,5 MG",COM CT BL AL PLAS PVDC TRANS X 28,,
"2,5 MG COM CT BL AL PLAS PVDC TRANS X 84","2,5 MG",COM CT BL AL PLAS PVDC TRANS X 84,,
"0,15 MG + 0,03 MG COM CT BL AL PLAS TRANS X 21","0,15 MG",,"+ 0,03 MG COM CT BL AL PLAS TRANS",X 21
15 MG COM ORODISP CT BL AL PLAS PVC TRANS X 6,15 MG,COM ORODISP CT BL AL PLAS PVC TRANS X 6,,
15 MG COM ORODISP CT BL AL PLAS PVC TRANS X 30,15 MG,COM ORODISP CT BL AL PLAS PVC TRANS X 30,,
30 MG COM ORODISP CT BL AL PLAS PVC TRANS X 6,30 MG,COM ORODISP CT BL AL PLAS PVC TRANS X 6,,
30 MG COM ORODISP CT BL AL PLAS PVC TRANS X 30,30 MG,COM ORODISP CT BL AL PLAS PVC TRANS X 30,,
45 MG COM ORODISP CT  BL AL PLAS PVC TRANS X 30 ,45 MG,COM ORODISP CT  BL AL PLAS PVC TRANS X 30,,
200 MG COM REV CT BL AL AL X 20,200 MG,COM REV CT BL AL AL X 20,,
100 MG COM REV CT BL AL AL X 30,100 MG,COM REV CT BL AL AL X 30,,
200 MG COM REV CT BL AL AL X 30,200 MG,COM REV CT BL AL AL X 30,,
100 MG COM REV CT BL AL AL X 60,100 MG,COM REV CT BL AL AL X 60,,
200 MG COM REV CT BL AL AL X 60,200 MG,COM REV CT BL AL AL X 60,,
100 MG COM REV CT BL AL AL X 90,100 MG,COM REV CT BL AL AL X 90,,
200 MG COM REV CT BL AL AL X 90,200 MG,COM REV CT BL AL AL X 90,,
"0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 28 + CALEND","0,030",,"+ 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS  + CALEND",X 28
"0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 84 + CALEND","0,030",,"+ 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS  + CALEND",X 84
10 MG COM CT BL AL PLAS PVC TRANS X 20,10 MG,COM CT BL AL PLAS PVC TRANS X 20,,
5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,5 MG,,/ML SOL INJ C AMP VD AMB X 2 ML,X 50
5 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML,5 MG,,/ML SOL INJ CT 5 AMP VD AMB  ML,X 2
4 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML,4 MG,,/ML SOL OR CT FR GOT PLAS OPC  ML,X 20
100 MG COM REV  CT BL AL  PLAS TRANS X 2,100 MG,COM REV  CT BL AL  PLAS TRANS X 2,,
50 MG COM REV CT BL AL PLAS TRANS X 2,50 MG,COM REV CT BL AL PLAS TRANS X 2,,
100 MG COM REV  CT BL AL  PLAS TRANS X 6,100 MG,COM REV  CT BL AL  PLAS TRANS X 6,,
50 MG COM REV CT BL AL PLAS TRANS X 6,50 MG,COM REV CT BL AL PLAS TRANS X 6,,
3 MG/ML SOL INJ CT 2 AMP VD AMB X 2 ML,3 MG,,/ML SOL INJ CT 2 AMP VD AMB  ML,X 2
3 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML,3 MG,,/ML SOL INJ CT 50 AMP VD AMB  ML,X 2
5 MG COM CT BL  AL PLAS TRANS X 20,5 MG,COM CT BL  AL PLAS TRANS X 20,,
10 MG COM CT BL  AL PLAS TRANS X 20,10 MG,COM CT BL  AL PLAS TRANS X 20,,
5 MG COM CT BL  AL PLAS TRANS X 60,5 MG,COM CT BL  AL PLAS TRANS X 60,,
5 MG COM CT BL  AL PLAS TRANS X 90,5 MG,COM CT BL  AL PLAS TRANS X 90,,
10 MG COM CT BL  AL PLAS TRANS X 60,10 MG,COM CT BL  AL PLAS TRANS X 60,,
10 MG COM CT BL  AL PLAS TRANS X 90,10 MG,COM CT BL  AL PLAS TRANS X 90,,
5 MG COM CT BL  AL PLAS TRANS X 8,5 MG,COM CT BL  AL PLAS TRANS X 8,,
10 MG COM CT 2 BL AL PLAS AMB X 15,10 MG,COM CT 2 BL AL PLAS AMB X 15,,
20 MG COM CT 2 BL AL PLAS AMB X 15,20 MG,COM CT 2 BL AL PLAS AMB X 15,,
20 MG COM REV CT BL AL PLAS INC X 28,20 MG,COM REV CT BL AL PLAS INC X 28,,
20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML,20 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
100 MG COM REV LIB RETARD CT BL AL PLAS INC X 30,100 MG,COM REV LIB RETARD CT BL AL PLAS INC X 30,,
25 MG COM CT BL AL PLAS TRANS X 30,25 MG,COM CT BL AL PLAS TRANS X 30,,
"6,250 MG COM CT BL AL PLAS TRANS X 30","6,250 MG",COM CT BL AL PLAS TRANS X 30,,
"12,50 MG COM CT BL AL PLAS TRANS X 30","12,50 MG",COM CT BL AL PLAS TRANS X 30,,
"3,125 MG COM CT BL AL PLAS TRANS X 30","3,125 MG",COM CT BL AL PLAS TRANS X 30,,
"6,250 MG COM CT BL AL PLAS TRANS X 60","6,250 MG",COM CT BL AL PLAS TRANS X 60,,
"12,50 MG COM CT BL AL PLAS TRANS X 60","12,50 MG",COM CT BL AL PLAS TRANS X 60,,
25 MG COM CT BL AL PLAS TRANS X 60,25 MG,COM CT BL AL PLAS TRANS X 60,,
500 MG COM REV CT BL AL PLAS INC X 09,500 MG,COM REV CT BL AL PLAS INC X 09,,
"0,075 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 21 CALEND","0,075 MG",,"+ 0,02 MG COM REV CT BL AL PLAS TRANS  CALEND",X 21
"0,075 MG + 0,02 MG COM REV CT 3  BL AL PLAS TRANS  X 21 CALEND","0,075 MG",,"+ 0,02 MG COM REV CT 3  BL AL PLAS TRANS   CALEND",X 21
"2,5 MG COM CT BL AL AL X 30","2,5 MG",COM CT BL AL AL X 30,,
5 MG COM CT BL AL AL X 30,5 MG,COM CT BL AL AL X 30,,
10 MG COM CT BL AL AL X 30,10 MG,COM CT BL AL AL X 30,,
"2,5 MG COM CT BL AL AL X 90","2,5 MG",COM CT BL AL AL X 90,,
5 MG COM CT BL AL AL X 90,5 MG,COM CT BL AL AL X 90,,
10 MG COM CT BL AL AL X 90,10 MG,COM CT BL AL AL X 90,,
"2,5 MG COM CT BL AL PLAS TRANS X 28","2,5 MG",COM CT BL AL PLAS TRANS X 28,,
"2,5 MG COM CT BL AL PLAS TRANS X 84","2,5 MG",COM CT BL AL PLAS TRANS X 84,,
30 MG COM REV CT BL AL/PLAS TRANS X 30,30 MG,COM REV CT BL AL,/PLAS TRANS,X 30
20 MG COM REV CT BL AL/PLAS TRANS X 30,20 MG,COM REV CT BL AL,/PLAS TRANS,X 30
"2,5 MG + 5 MG CAP GEL DURA CT FR PLAS X 30","2,5 MG",,+ 5 MG CAP GEL DURA CT FR PLAS,X 30
5 MG + 5 MG CAP GEL DURA CT FR PLAS X 30,5 MG,,+ 5 MG CAP GEL DURA CT FR PLAS,X 30
10 MG + 5 MG CAP GEL DURA CT FR PLAS X 30,10 MG,,+ 5 MG CAP GEL DURA CT FR PLAS,X 30
10 MG + 10 MG CAP GEL DURA CT FR PLAS X 30,10 MG,,+ 10 MG CAP GEL DURA CT FR PLAS,X 30
"0,150 MG + 0,02 MG COM CT BL AL PLAS INC CALEND X 21","0,150 MG",,"+ 0,02 MG COM CT BL AL PLAS INC CALEND",X 21
"0,150 MG + 0,02 MG COM CT BL AL PLAS INC CALEND X 63","0,150 MG",,"+ 0,02 MG COM CT BL AL PLAS INC CALEND",X 63
50 MG COM CT BL AL PLAS TRANS X 30,50 MG,COM CT BL AL PLAS TRANS X 30,,
50 MG COM CT BL AL PLAS TRANS X 60,50 MG,COM CT BL AL PLAS TRANS X 60,,
100 MG COM CT BL AL PLAS TRANS X 15,100 MG,COM CT BL AL PLAS TRANS X 15,,
100 MG COM CT BL AL PLAS TRANS X 30,100 MG,COM CT BL AL PLAS TRANS X 30,,
100 MG COM CT BL AL PLAS TRANS X 60,100 MG,COM CT BL AL PLAS TRANS X 60,,
50 MG COM CT BL AL PLAS TRANS X 120,50 MG,COM CT BL AL PLAS TRANS X 120,,
100 MG COM CT BL AL PLAS TRANS X 120,100 MG,COM CT BL AL PLAS TRANS X 120,,
"0,015 MG + 0,060 MG COM REV CT BL AL PLAS TRANS CALEND X 24 ","0,015 MG",,"+ 0,060 MG COM REV CT BL AL PLAS TRANS CALEND",X 24
"0,015 MG + 0,060 MG COM REV CT BL AL PLAS TRANS CALEND X 72","0,015 MG",,"+ 0,060 MG COM REV CT BL AL PLAS TRANS CALEND",X 72
1 MG COM REV CT BL AL PLAS TRANS CALEND X 28,1 MG,COM REV CT BL AL PLAS TRANS CALEND X 28,,
50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 60 DOSES,50 MCG,,/DOSE SUS TOP CT FR SPR PLAS OPC  DOSES,X 60
50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 120 DOSES,50 MCG,,/DOSE SUS TOP CT FR SPR PLAS OPC  DOSES,X 120
"1 MG + 0,5 MG COM REV CT BL AL PLAS TRANS CALEND X 28",1 MG,,"+ 0,5 MG COM REV CT BL AL PLAS TRANS CALEND",X 28
20 MG COM  REV CT BL AL PLAS TRANS X 7,20 MG,COM  REV CT BL AL PLAS TRANS X 7,,
20 MG COM REV CT BL AL PLAS TRANS X 28,20 MG,COM REV CT BL AL PLAS TRANS X 28,,
40 MG COM REV CT BL AL PLAS TRANS X 28,40 MG,COM REV CT BL AL PLAS TRANS X 28,,
150 MG COM REV LIB PROL CT BL AL PLAS TRANS X 30,150 MG,COM REV LIB PROL CT BL AL PLAS TRANS X 30,,
150 MG COM REV LIB PROL CT FR PLAS  PEAD OPC X 10,150 MG,COM REV LIB PROL CT FR PLAS  PEAD OPC X 10,,
150 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,150 MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 30,,
150 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,150 MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 60,,
300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,300 MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 30,,
300 MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,300 MG,COM REV LIB PROL CT FR PLAS PEAD OPC X 60,,
1 MG/G CREM DERM CT BG PLAS OPC X 20 G,1 MG,,/G CREM DERM CT BG PLAS OPC  G,X 20
1 MG/G POM DERM CT BG PLAS OPC X 20 G,1 MG,,/G POM DERM CT BG PLAS OPC  G,X 20
1 MG/G CREM DERM CT BG AL X 20 G,1 MG,,/G CREM DERM CT BG AL  G,X 20
1 MG/G POM DERM CT BG AL  X 20 G,1 MG,,/G POM DERM CT BG AL   G,X 20
1 MG/G CREM DERM CT BG AL X 10 G,1 MG,,/G CREM DERM CT BG AL  G,X 10
1 MG/G CREM DERM CT FR APLIC PLAS PET OPC X 140 G,1 MG,,/G CREM DERM CT FR APLIC PLAS PET OPC  G,X 140
6 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML  ,6 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 5
"6 MG/ML SOL INJ IV CT FR VD TRANS X 16,7 ML",6 MG,,"/ML SOL INJ IV CT FR VD TRANS ,7 ML",X 16
